index,Location,Latitude,Longitude
258,"Temora, Australia",-34.4468114,147.533896
259,"Centralia, Illinois",38.5285169,-89.1316944
260,"Kurudjevo, Bulgaria",42.733883,25.48583
261,"Cincinnati, Ohio",39.1031182,-84.5120196
262,"Chicago, Illinois",41.8781136,-87.6297982
263,"Near Craiova, Oltenia, Romania",44.3301785,23.7948808
264,"Oakland, California",37.8043514,-122.2711639
265,"Novia Scotia, Canada",45.0778473,-63.5466822
266,Brazil,-14.235004,-51.92528
267,"Camden, New Jersey",39.9259463,-75.1196199
268,"Sir Lowry's pass, South Africa",-34.1171433,18.9092108
269,"Salt Lake City, Utah",40.7607793,-111.8910474
270,"Near Tsinan, China",36.6518399,117.12009
271,"Pasco, Washington",46.2305049,-119.0922316
272,"Kewanee, Illinois",41.2455927,-89.9248303
273,"Bangkok, Thailand",13.7563309,100.5017651
274,Off Algiers,36.753768,3.0587561
275,"Springfield, Ohio",39.9242266,-83.8088171
276,"Colvin Park, Ilinois",42.1380804,-88.7834283
277,"Lebec, California",34.8416435,-118.8648189
278,"Off Miami, Florida",25.7616798,-80.1917902
279,"Rio Vista, California",38.1557502,-121.6913439
280,"Marcellus, Michigan",42.0258779,-85.8155576
281,"Off Setiba, Brazil",-20.6331975,-40.4404925
282,"Saint Louis, Illinois",38.624514,-90.1506465
283,"Calimesa, California",34.0039039,-117.0619755
284,"Steubenville, Ohio",40.3697905,-80.6339638
285,"Rutbah Wells, Iraq",32.5597614,41.9196471
286,"Bedford, Ohio",41.3931096,-81.5365094
287,"Fort Wayne, Indiana",41.079273,-85.1393513
288,"Burbank, California",34.1808392,-118.3089661
289,"Portland, Oregon",45.515232,-122.6783853
290,"Mount El Plomo, near Vitacura, Chile",-33.3895766,-70.5488825
291,"Beyrouth, Lebanon",33.8937913,35.5017767
292,"Tubergen, Germany",51.165691,10.451526
293,"Salt Flats, Texas",31.7453066,-105.0809496
294,"Selsdon Park, England",51.3495019,-0.0428513
295,"Byron Bay, Australia",-28.6419122,153.6105168
296,"Port Etienne, Mauritania",20.9425179,-17.0362272
297,"Villa Monte, Bolivia",-21.2470518,-63.0147578
298,"Ramsgate, England",51.335545,1.419895
299,"Echterpfuhl, Germany",51.165691,10.451526
300,"Marianna, Arkansas",34.7746203,-90.7722536
301,"Amarillo, Texas",35.2219971,-101.8312969
302,"Rocky Ridge, Colorado",39.5500507,-105.7820674
303,"Wau, Australia",-25.274398,133.775136
304,Algiers,36.753768,3.0587561
305,"Newark, New Jersey",40.735657,-74.1723667
306,"Marietta, Georgia",33.952602,-84.5499327
307,"Bourne, Texas",29.7946641,-98.7319703
308,"Eugene, Oregon",44.0520691,-123.0867536
309,"Near Mendoza, Argentina",-32.8894587,-68.8458386
310,"Hayward, California",37.6687665,-122.0809964
311,"Near Dixmude, Belgium",51.0316593,2.8639376
312,"Hemkenrode, Germany",52.2280802,10.706471
313,"Off Barnegat, New Jersey",39.7649223,-74.2693297
314,"Near Castrovillari, Calabria, Italy",39.8152678,16.1997438
315,"Traunstein, Germany",47.8677574,12.6384037
316,"Near Viladrau, Spain",41.8477765,2.3904096
317,"Bowling Green, Virginia",38.0495789,-77.3466468
318,"Glenview, Illinois",42.0778065,-87.8223368
319,Aegean Sea,39.019184,25.268555
320,"Quay, New Mexico",34.9339503,-103.7605204
321,"Near Ljubljana, Yugoslavia",46.0569465,14.5057515
322,"Chesterton, Indiana",41.6105937,-87.0641992
323,"Etobon, France",47.642833,6.675242
324,"Portland, Oregon",45.515232,-122.6783853
325,"Moriarty, New Mexico",34.9900503,-106.0491893
326,"Near Tsinan, China",36.6518399,117.12009
327,"Near Kharkov, Ukraine, USSR",50.0020127,36.3073994
328,"Wedron, Illinois",41.4361548,-88.7734493
329,"Hamburg, Germany",53.5488282,9.9871703
330,"Eshowe, South Africa",-28.8900212,31.4533546
331,"Near Ruysselede, Belgium",51.0409443,3.39667
332,"Corbigny, France",47.257618,3.684328
333,"Carombe, France",44.110898,5.107716
334,"Near Salt Lake City, Utah",39.3209801,-111.0937311
335,"Rio de Oro, Morocco",35.26353211,-2.97749448
336,"Petersburg, Illinois",40.0117151,-89.8481652
337,"Pereira, Colombia",4.8087174,-75.690601
338,"Near Lima, Peru",-12.0463731,-77.042754
339,"Ningpo Bay, China",29.868336,121.54399
340,English Channel,50.134664,-0.357056
341,"Croydon, England",51.3769529,-0.0956895
342,"Mongaup Mountain, New York",41.9909235,-74.6840456
343,"Junin, Argentina",-34.5885499,-60.949554
344,"Chausseehausen, Germany",51.165691,10.451526
345,"Burbank, California",34.1808392,-118.3089661
346,"San Bernardino, California",34.1083449,-117.2897652
347,"Near Tuttlingen, Germany",47.9823316,8.8192095
348,"Bahia, Brazil",-11.4098737,-41.2808577
349,"Ningbo, China",29.868336,121.54399
350,"Amazonia, Missouri",39.8861052,-94.891913
351,English Channel,50.134664,-0.357056
352,"Near Winton, Australia",-22.3905542,143.0412041
353,"Bass Strait, Australia",-39.3152848,145.8468053
354,"Kiapit, Australia",-25.274398,133.775136
355,"Near Longreach, Australia",-23.4403125,144.2506199
356,"Amazonia, Montana",46.320207,-112.1072224
357,"Salchau, Germany",51.165691,10.451526
358,"Columbia, Missouri",38.9517053,-92.3340724
359,"Palma Soriano, Cuba",20.2218201,-75.9869609
360,"Rutbah Wells, Syria",34.802075,38.996815
361,"Sunbright, Tennessee",36.2431964,-84.6715407
362,,,
363,"Near Karachi, Pakistan",24.8607343,67.0011364
364,"Pittsburgh, Pennsylvania",40.4406248,-79.9958864
365,"Stettin, Germany",53.4285438,14.5528116
366,"Schievelbein, Germany",51.165691,10.451526
367,"El Arish, Egypt",31.132093,33.8032762
368,"Off Samland, Germany",51.165691,10.451526
369,"Beauvais, France",49.4295387,2.0807123
370,"Brilon, Germany",51.3982179,8.5749432
371,"Near Walsenberg, Colorado",37.6227357,-104.780403
372,"Atlanta, Missouri",39.898646,-92.4810208
373,"Near Moscow, Russia",55.755826,37.6173
374,"Flint, Michigan",43.0125274,-83.6874562
375,"Glendo, Wyoming",42.5027467,-105.0260832
376,"Maywood, Illinois",41.8791979,-87.8431155
377,"San Barbra, Honduras",14.9219177,-88.2375991
378,"Medellin, Colombia",6.2476376,-75.5658153
379,"Amsterdam, Netherlands",52.3675734,4.9041389
380,"Off Chandeleur Island, Mississippi",32.3546679,-89.3985283
381,"Pian Giacomo, Switzerland",46.413705,9.2236576
382,"Cardiff, United Kingdom",51.483707,-3.1680962
383,"El Retiro, Colombia",6.060955,-75.502582
384,"Cairo, Egypt",30.0444196,31.2357116
385,"Hangow, China",26.083561,113.47923
386,"Near Gilmer, Texas",32.7287472,-94.9424379
387,"Walakpa, near Point Barrow, Alaska",71.3875,-156.4811111
388,"Near Glendo, Wyoming",42.5027467,-105.0260832
389,"Burbank, California",34.1808392,-118.3089661
390,"Near Tambo, Panama",8.537981,-80.782127
391,"Off Finders Island, Victoria, Australia",-38.4344541,144.9726306
392,"Near Cheyenne, Wyoming",41.1399814,-104.8202462
393,Gulf of Finland,59.9124514,26.2623373
394,"Troy, New York",42.7284117,-73.6917851
395,"Cheyenne, Wyoming",41.1399814,-104.8202462
396,"Off Nhambupe, Brazil",-11.7868374,-38.3525212
397,"Near Fort Worth, Texas",32.7554883,-97.3307658
398,"Brindisi, Italy",40.6327732,17.9418724
399,"Istres, France",43.513006,4.987968
400,"Tours, France",47.3882691,0.6896474
401,"Croydon, England",51.3769529,-0.0956895
402,"Wroctaw, Poland",51.1078852,17.0385376
403,"Off Alexandria, Egypt",31.2000924,29.9187387
404,"Tres Esquinas, Colombia",0.7488307,-75.2325525
405,"Goodwin, Arkansas",34.9381496,-91.0209529
406,"Near Cordillera, Boliva",-19.1232021,-61.872804
407,"Off Ajaccio, Corsica, France",41.919229,8.738635
408,"Denton, Texas",33.2148412,-97.1330683
409,Atlantic Ocean,-14.5994134,-28.6731465
410,South Atlantic Ocean,-33.72434,-15.996094
411,"Near Tengya, China",35.86166,104.195397
412,"Ovalle, Chile",-30.604304,-71.1969882
413,"Amemeca, Mexico",23.634501,-102.552784
414,"Pavillon, New York",40.7695936,-73.9507269
415,"Uniontown, Pennsylvania",39.900076,-79.7164326
416,"Port of Spain, Trinidad",10.6603435,-61.5086355
417,"Near Turin, Italy",45.0703155,7.6868552
418,"Orvin, Switzerland",47.1605487,7.2134713
419,"Senlis, France",49.205164,2.583212
420,"Basel, Switzerland",47.5595986,7.5885761
421,"Mount Waverley, Australia",-37.8749614,145.1291077
422,"Malmo, Sweden",55.604981,13.003822
423,"Hannover, Germany",52.3758916,9.7320104
424,"Mt. Lihesten, Norway",61.1749982,5.2144952
425,"Zagreb, Croatia",45.8150108,15.981919
426,"Kulyab, Tajikistan",37.9273983,69.8001762
427,"Off Channel Islands, Jersey",49.2137711,-2.1357662
428,"Mazamet, France",43.490103,2.376579
429,"Ciudad Serdan,Mexico",18.9844003,-97.4543626
430,"St. Louis, Missouri",38.6270025,-90.1994042
431,"Choco, Colombia",5.6914548,-76.6589794
432,"Altenkirchen, Germany",50.6854009,7.6359735
433,"Mirabella, Greece",35.1677936,25.7811869
434,"Near Pittsburgh, Pennsylvania",40.4406248,-79.9958864
435,English Channel,50.134664,-0.357056
436,"Walsenberg, Colorado",37.6227357,-104.780403
437,"Benghazi, Libya",32.1194242,20.0867909
438,"Napierville, Illinois",41.7508391,-88.1535352
439,"Francisco Rueda, Tabasco, Mexico",17.832295,-93.933021
440,"Selby, North Yorkshire, United Kingdom",53.783524,-1.067189
441,"Near Tabarz, Germany",50.8784811,10.5115698
442,"Nurnberg, Germany",49.4521018,11.0766654
443,"London, England",51.5072178,-0.1275862
444,"Near Grenoble, France",45.188529,5.724524
445,"Near Moscow, Russia",55.755826,37.6173
446,"Off Dakar, French West Africa",14.716677,-17.4676861
447,"Croydon, England",51.3769529,-0.0956895
448,"Near Salt Lake City, Utah",39.3209801,-111.0937311
449,"Kellogg, Idaho",47.5382565,-116.1193327
450,"Near Milford, Pennsylvania",41.322316,-74.8023882
451,"Near Dallas, Texas",32.7766642,-96.7969879
452,"Nanking, China",32.0583799,118.79647
453,"Newhall, California",34.373361,-118.5400404
454,"Near Playa V icente, Veracruz, Mexico",17.8304345,-95.8131635
455,"Near Newhall, California",34.373361,-118.5400404
456,"Oran, Algeria",35.6987388,-0.6349319
457,"Off San Francisco, California",37.7749295,-122.4194155
458,"McPherson Ranges, Queensland, Australia",-28.3333333,153
459,"Bathurst, Gambia",13.454375,-16.5753186
460,"Near Ouroux, France",46.231418,4.593407
461,"Clifton, Pennsylvania",41.2509919,-75.5393155
462,"Wetnum, Germany",51.165691,10.451526
463,"Lakehurst, New Jersey",40.014561,-74.3112574
464,"Stuttgart, Germany",48.7758459,9.1829321
465,"Wadi Halfa, Sudan",21.7991419,31.3713164
466,"Off Lae, New Guinea",-6.7155252,146.999905
467,"Hal, Belgium",50.7381601,4.2337053
468,"Wadi Halfa, Sudan",21.7991419,31.3713164
469,"Off Cristobal, Panama",9.350599,-79.901527
470,"Bistrita, Romania",47.1392617,24.4890979
471,"Chilang Point, Bias Bay, China",22.6166667,114.6702778
472,"Daytona Beach, Florida",29.2108147,-81.0228331
473,"San Luis, Argentina",-33.3017267,-66.3377522
474,"Wau, Papua New Guinea",-7.337137,146.7159362
475,"Phaleron Bay, Greece",37.9306839,23.6671975
476,"Palembang, Netherlands Indies",-2.9760735,104.7754307
477,"Haydens Peak, Wyoming",43.0759678,-107.2902839
478,Off Western Africa,13.531665,-2.4604145
479,"Warsaw, Poland",52.2296756,21.0122287
480,"Mannheim, Germany",49.4874592,8.4660395
481,"Ostende, Belgium",51.2246631,2.9091818
482,"Croydon, United Kingdom",51.3769529,-0.0956895
483,"Munich, Germany",48.1351253,11.5819806
484,"Brindisi, Italy",40.6327732,17.9418724
485,"Brindisi Harbor, Italy",40.6327732,17.9418724
486,"Saint Sauveur, France",43.7496539,1.4004928
487,"Kasperske Hory, Czechoslovakia",49.1429001,13.5561642
488,"Frankfurt, Germany",50.1109221,8.6821267
489,"Bozeman, Montana",45.6793119,-111.037259
490,"Pago Pago, U.S. Samoa",-14.2732727,-170.7030577
491,"North Pine, Ontario, Canada",51.253775,-85.3232139
492,"Off San Clemente Island, California",32.9028812,-118.4980744
493,"Kandalaksha, Russia",67.1508569,32.4133751
494,"Guadalupe, Mexico",25.6748291,-100.2155063
495,"Marseille, France",43.3025742,5.3690743
496,Mediterranean Sea,34.5531284,18.0480105
497,"Pontoise, France",49.050966,2.100645
498,"Near Wawona, Cailifornia",37.5477143,-119.6436697
499,"Datia, India",25.6653168,78.4609182
500,"Somerton, Australia",-37.6301343,144.9492995
501,"Corsavy, France",42.466095,2.578342
502,"Near Formia, Italy",41.2549016,13.6065504
503,"Balbuena, Mexico",19.4157721,-99.107331
504,"Mangere, New Zealand",-36.9720681,174.7866711
505,"Near Saugus, California",34.4135244,-118.5404007
506,"Sao Paulo, Brazil",-23.5557714,-46.6395571
507,"Cleveland, Ohio",41.49932,-81.6943605
508,"Alberno Canal, BC, Canada",49.2655249,-124.813532
509,"Langeoog, Germany",53.747401,7.492601
510,"Near Singida, Tanzania",-4.8253518,34.7630307
511,"Mount Mercedario, Chile",-35.675147,-71.542969
512,"Billings, Montana",45.7832856,-108.5006904
513,"Off Sardinia, Italy",40.1208752,9.0128926
514,Andes,-21.1607667,-66.7752471
515,"Stulpica, Romania",45.943161,24.96676
516,"Kisumu, Kenya",-0.0917016,34.7679568
517,Pacific Ocean between Manila and Guam,13.444304,144.793731
518,"Debrecen, Hungary",47.5288879,21.6254485
519,"Shishijima, Japan",32.2800521,130.2322362
520,"Near San Andres Tuxtla, VeraCruz, Mexico",18.4441222,-95.2130284
521,"Kiel, Germany",54.3232927,10.1227652
522,"Guanabara, Brazil",-19.8614974,-43.898282
523,"Bucharest, Romania",44.4267674,26.1025384
524,"Montnago, Italy",45.810556,10.888056
525,"Wangmoon, China",35.86166,104.195397
526,"Tokyo, Japan",35.6764225,139.650027
527,"Near Tucumcari, New Mexico",35.171723,-103.7249662
528,"Innisfail, Australia",-17.5227345,146.0278075
529,"Off Bathurst, Gambia",13.454375,-16.5753186
530,"Grisons, Switzerland",46.6569871,9.5780257
531,"Soest, Germany",51.5714188,8.1105291
532,"Mt. Dandenong, Australia",-37.8309297,145.3604746
533,"Somerset, England",51.105097,-2.9262307
534,"Channel Islands, Jersey",49.2137711,-2.1357662
535,"Schiphol, Amsterdam",52.3078581,4.7582465
536,"Regina, Saskatchewan, Canada",50.4452112,-104.6188944
537,"Bathurst, Gambia",13.454375,-16.5753186
538,"Bagdad, Iraq",33.315241,44.3660671
